Date : 2023-04-25 18:40:28
Directory : /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python
Total : 407 files,  16405 codes, 2619 comments, 3856 blanks, all 22880 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/docs/paths/user_logout/get.md                                                                                     | Markdown     |         93 |          0 |         22 |        115 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/docs/paths/user_username/delete.md                                                                                | Markdown     |        125 |          0 |         32 |        157 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/docs/paths/user_username/get.md                                                                                   | Markdown     |        130 |          0 |         34 |        164 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/docs/paths/user_username/put.md                                                                                   | Markdown     |        150 |          0 |         37 |        187 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/docs/servers/server_0.md                                                                                          | Markdown     |          5 |          0 |          3 |          8 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/git_push.sh                                                                                                       | Shell Script |         35 |          9 |         15 |         59 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/migration_2_0_0.md                                                                                                | Markdown     |        167 |          0 |         36 |        203 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/migration_other_python_generators.md                                                                              | Markdown     |         84 |          0 |          8 |         92 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/pyproject.toml                                                                                                    | toml         |         27 |          0 |          4 |         31 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/__init__.py                                                                                    | Python       |          9 |         13 |          7 |         29 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/api_client.py                                                                                  | Python       |      1,046 |        226 |        129 |      1,401 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/__init__.py                                                                               | Python       |          0 |          3 |          0 |          3 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/path_to_api.py                                                                            | Python       |         53 |          0 |          4 |         57 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/__init__.py                                                                         | Python       |          0 |          3 |          0 |          3 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/pet.py                                                                              | Python       |          7 |          6 |          5 |         18 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/pet_find_by_status.py                                                               | Python       |          5 |          6 |          5 |         16 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/pet_find_by_tags.py                                                                 | Python       |          5 |          6 |          5 |         16 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/pet_pet_id.py                                                                       | Python       |          9 |          6 |          5 |         20 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/pet_pet_id_upload_image.py                                                          | Python       |          5 |          6 |          5 |         16 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/store_inventory.py                                                                  | Python       |          5 |          6 |          5 |         16 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/store_order.py                                                                      | Python       |          5 |          6 |          5 |         16 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/store_order_order_id.py                                                             | Python       |          7 |          6 |          5 |         18 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user.py                                                                             | Python       |          5 |          6 |          5 |         16 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user_create_with_array.py                                                           | Python       |          5 |          6 |          5 |         16 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user_create_with_list.py                                                            | Python       |          5 |          6 |          5 |         16 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user_login.py                                                                       | Python       |          5 |          6 |          5 |         16 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user_logout.py                                                                      | Python       |          5 |          6 |          5 |         16 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/paths/user_username.py                                                                    | Python       |          9 |          6 |          5 |         20 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/tag_to_api.py                                                                             | Python       |         20 |          0 |          4 |         24 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/tags/__init__.py                                                                          | Python       |          0 |          3 |          0 |          3 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/tags/pet_api.py                                                                           | Python       |         19 |         11 |          5 |         35 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/tags/store_api.py                                                                         | Python       |         11 |         11 |          5 |         27 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/apis/tags/user_api.py                                                                          | Python       |         19 |         11 |          5 |         35 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/__init__.py                                                                         | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/__init__.py                                                          | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/__init__.py                                         | Python       |         22 |          6 |          9 |         37 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/content/__init__.py                                 | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/content/application_json/__init__.py                | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/content/application_json/schema.py                  | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/content/application_xml/__init__.py                 | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_pet/content/application_xml/schema.py                   | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_user_array/__init__.py                                  | Python       |         17 |          6 |          7 |         30 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_user_array/content/__init__.py                          | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_user_array/content/application_json/__init__.py         | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/request_bodies/request_body_user_array/content/application_json/schema.py           | Python       |         38 |          9 |         13 |         60 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/__init__.py                                                                  | Python       |          0 |          5 |          1 |          6 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/api_response.py                                                              | Python       |         78 |         17 |         21 |        116 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/category.py                                                                  | Python       |         77 |         17 |         23 |        117 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/order.py                                                                     | Python       |        135 |         17 |         38 |        190 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/pet.py                                                                       | Python       |        188 |         17 |         50 |        255 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/tag.py                                                                       | Python       |         68 |         17 |         19 |        104 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schema/user.py                                                                      | Python       |        128 |         17 |         31 |        176 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/schemas/__init__.py                                                                 | Python       |          6 |         10 |          4 |         20 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/security_schemes/__init__.py                                                        | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/security_schemes/security_scheme_api_key.py                                         | Python       |          8 |          6 |          5 |         19 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/components/security_schemes/security_scheme_petstore_auth.py                                   | Python       |         15 |          6 |          5 |         26 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/configurations/__init__.py                                                                     | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/configurations/api_configuration.py                                                            | Python       |        169 |        139 |         26 |        334 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/configurations/schema_configuration.py                                                         | Python       |         57 |         31 |         10 |         98 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/exceptions.py                                                                                  | Python       |         59 |         55 |         22 |        136 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/__init__.py                                                                              | Python       |          0 |          3 |          1 |          4 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/__init__.py                                                                          | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/__init__.py                                                                     | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/operation.py                                                                    | Python       |        424 |         15 |         46 |        485 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/request_body/__init__.py                                                        | Python       |          2 |          6 |          4 |         12 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/responses/__init__.py                                                           | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/responses/response_200/__init__.py                                              | Python       |         38 |          6 |         13 |         57 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/responses/response_200/content/__init__.py                                      | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/responses/response_200/content/application_json/__init__.py                     | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/responses/response_200/content/application_json/schema.py                       | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/responses/response_200/content/application_xml/__init__.py                      | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/responses/response_200/content/application_xml/schema.py                        | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/responses/response_405/__init__.py                                              | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/security/__init__.py                                                            | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/post/security/security_requirement_object_0.py                                       | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/__init__.py                                                                      | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/operation.py                                                                     | Python       |        432 |         15 |         46 |        493 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/request_body/__init__.py                                                         | Python       |          2 |          6 |          4 |         12 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/responses/__init__.py                                                            | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/responses/response_200/__init__.py                                               | Python       |         38 |          6 |         13 |         57 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/responses/response_200/content/__init__.py                                       | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/responses/response_200/content/application_json/__init__.py                      | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/responses/response_200/content/application_json/schema.py                        | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/responses/response_200/content/application_xml/__init__.py                       | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/responses/response_200/content/application_xml/schema.py                         | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/responses/response_400/__init__.py                                               | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/responses/response_404/__init__.py                                               | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/responses/response_405/__init__.py                                               | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/security/__init__.py                                                             | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet/put/security/security_requirement_object_0.py                                        | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/__init__.py                                                           | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/__init__.py                                                       | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/operation.py                                                      | Python       |        270 |         15 |         42 |        327 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/parameters/__init__.py                                            | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/parameters/parameter_0/__init__.py                                | Python       |          9 |          6 |          7 |         22 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/parameters/parameter_0/schema.py                                  | Python       |         56 |          9 |         18 |         83 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/responses/__init__.py                                             | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/responses/response_200/__init__.py                                | Python       |         38 |          6 |         13 |         57 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/responses/response_200/content/__init__.py                        | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/responses/response_200/content/application_json/__init__.py       | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/responses/response_200/content/application_json/schema.py         | Python       |         38 |          9 |         13 |         60 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/responses/response_200/content/application_xml/__init__.py        | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/responses/response_200/content/application_xml/schema.py          | Python       |         38 |          9 |         13 |         60 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/responses/response_400/__init__.py                                | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/security/__init__.py                                              | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_status/get/security/security_requirement_object_0.py                         | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/__init__.py                                                             | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/__init__.py                                                         | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/operation.py                                                        | Python       |        270 |         15 |         42 |        327 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/parameters/__init__.py                                              | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/parameters/parameter_0/__init__.py                                  | Python       |          9 |          6 |          7 |         22 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/parameters/parameter_0/schema.py                                    | Python       |         35 |          9 |         11 |         55 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/responses/__init__.py                                               | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/responses/response_200/__init__.py                                  | Python       |         38 |          6 |         13 |         57 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/responses/response_200/content/__init__.py                          | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/responses/response_200/content/application_json/__init__.py         | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/responses/response_200/content/application_json/schema.py           | Python       |         38 |          9 |         13 |         60 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/responses/response_200/content/application_xml/__init__.py          | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/responses/response_200/content/application_xml/schema.py            | Python       |         38 |          9 |         13 |         60 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/responses/response_400/__init__.py                                  | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/security/__init__.py                                                | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_find_by_tags/get/security/security_requirement_object_0.py                           | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/__init__.py                                                                   | Python       |          1 |          3 |          1 |          5 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/__init__.py                                                            | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/operation.py                                                           | Python       |        281 |         15 |         44 |        340 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/parameters/__init__.py                                                 | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/parameters/parameter_0/__init__.py                                     | Python       |          8 |          6 |          7 |         21 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/parameters/parameter_0/schema.py                                       | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/parameters/parameter_1/__init__.py                                     | Python       |          9 |          6 |          7 |         22 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/parameters/parameter_1/schema.py                                       | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/responses/__init__.py                                                  | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/responses/response_400/__init__.py                                     | Python       |         18 |          6 |          9 |         33 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/security/__init__.py                                                   | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/delete/security/security_requirement_object_0.py                              | Python       |          4 |          6 |          4 |         14 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/__init__.py                                                               | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/operation.py                                                              | Python       |        273 |         15 |         43 |        331 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/parameters/__init__.py                                                    | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/parameters/parameter_0/__init__.py                                        | Python       |          9 |          6 |          7 |         22 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/parameters/parameter_0/schema.py                                          | Python       |         11 |          9 |          5 |         25 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/responses/__init__.py                                                     | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/responses/response_200/__init__.py                                        | Python       |         38 |          6 |         13 |         57 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/responses/response_200/content/__init__.py                                | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/responses/response_200/content/application_json/__init__.py               | Python       |          0 |          0 |          1 |          1 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/responses/response_200/content/application_json/schema.py                 | Python       |          2 |          9 |          4 |         15 |
| /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python/src/openapi_client/paths/pet_pet_id/get/responses/response_200/content/application_xml/__init__.py                | Python       |          0 |          0 |          1 |          1 |
